Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized,area_per_floor,total_built_area,floor_area_ratio,floor_price_premium,floor_price_premium_scaled,floor_city_interaction,floor_city_premium,price_per_area,city_road_interaction,Price_Log,Price_Original
3.0,3.3,13.0,0,0,1,0,0,1,1.0999999999999999,9.899999999999999,0.9090909090909092,34629726.06117021,1.3498588075760032,0.0,0.0,6818181.818181818,0,16.929025911619092,22500000.00000001
2.5,3.25,20.0,0,0,1,0,1,0,1.3,8.125,0.7692307692307693,25775471.698113207,1.2840254166877414,0.0,0.0,6000000.0,0,16.785925074816024,19499999.99999998
4.0,3.0625,10.0,0,1,0,0,0,1,0.765625,12.25,1.3061224489795917,37466000.0,1.4918246976412703,4.0,37466000.0,7346938.775510204,0,16.929025911619092,22500000.00000001
2.5,6.1,20.0,0,1,0,1,0,0,2.44,15.25,0.4098360655737705,25775471.698113207,1.2840254166877414,2.5,25775471.698113207,6557377.049180328,1,17.50439003707821,39999999.999999985
3.0,6.0,20.0,0,1,0,0,0,1,2.0,18.0,0.5,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6250000.0,0,17.439851517607305,37500000.0
3.0,8.5,16.0,0,0,1,1,0,0,2.8333333333333335,25.5,0.35294117647058826,34629726.06117021,1.3498588075760032,0.0,0.0,4597294.117647059,0,17.481044642173718,39076999.99999993
2.0,3.0,13.0,0,0,1,0,1,0,1.5,6.0,0.6666666666666666,37939361.70212766,1.2214027581601699,0.0,0.0,4166666.6666666665,0,16.341239282272525,12499999.999999985
3.0,6.0,30.0,0,1,0,1,0,0,2.0,18.0,0.5,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5750000.0,1,17.356469910987094,34499999.99999998
3.0,4.3,16.0,0,1,0,0,0,1,1.4333333333333333,12.899999999999999,0.6976744186046512,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6046511.627906977,0,17.073607134447293,25999999.999999985
1.0,3.0,13.0,0,1,0,0,1,0,3.0,3.0,0.3333333333333333,14203703.703703703,1.1051709180756477,1.0,14203703.703703703,3800000.0,0,16.249124001084017,11399999.99999998
2.5,3.0,13.0,0,0,1,0,1,0,1.2,7.5,0.8333333333333334,25775471.698113207,1.2840254166877414,0.0,0.0,6000000.0,0,16.705882371415992,17999999.999999985
2.75,14.0,20.0,0,1,0,0,0,1,5.090909090909091,38.5,0.19642857142857142,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,5178571.428571428,0,18.099097133618006,72499999.99999996
1.0,3.5,20.0,0,0,1,0,1,0,3.5,3.5,0.2857142857142857,14203703.703703703,1.1051709180756477,0.0,0.0,4057142.8571428573,0,16.468752592994022,14200000.000000004
2.75,4.0,16.0,0,1,0,1,0,0,1.4545454545454546,11.0,0.6875,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,5625000.0,1,16.929025911619092,22500000.00000001
3.0,8.0,12.0,0,1,0,0,1,0,2.6666666666666665,24.0,0.375,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5375000.0,0,17.57671069691365,43000000.000000015
3.0,3.0,13.0,0,1,0,1,0,0,1.0,9.0,1.0,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7500000.0,1,16.929025911619092,22500000.00000001
2.75,3.0,16.0,0,1,0,1,0,0,1.0909090909090908,8.25,0.9166666666666666,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,6000000.0,1,16.705882371415992,17999999.999999985
2.0,7.0,20.0,0,1,0,0,1,0,3.5,14.0,0.2857142857142857,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,5000000.0,0,17.370858648025116,35000000.000000015
3.0,7.0,20.0,0,1,0,0,0,1,2.3333333333333335,21.0,0.42857142857142855,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,8214285.714285715,0,17.867295523158884,57500000.00000004
3.0,3.85,20.0,0,1,0,0,0,1,1.2833333333333334,11.55,0.7792207792207793,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,11298701.2987013,0,17.588271519047417,43499999.99999997
3.0,5.0,14.0,0,1,0,0,1,0,1.6666666666666667,15.0,0.6,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6000000.0,0,17.216707972959764,30000000.00000005
2.75,5.200876552227904,20.0,0,1,0,0,0,1,1.8912278371737834,14.302410518626736,0.52875702247191,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4326193.820224718,0,16.929025911619092,22500000.00000001
1.5,3.0,13.0,0,0,1,0,1,0,2.0,4.5,0.5,12657142.857142856,1.161834242728283,0.0,0.0,4000000.0,0,16.300417291085605,12000000.000000007
2.75,5.625,16.0,0,0,1,0,0,1,2.0454545454545454,15.46875,0.4888888888888889,34935185.18518519,1.3165306748676215,0.0,0.0,4088888.888888889,0,16.951004817371683,22999999.999999974
3.0,5.0,14.0,0,1,0,0,0,1,1.6666666666666667,15.0,0.6,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7800000.0,0,17.479072229734946,39000000.00000001
3.0,4.75,13.0,0,1,0,1,0,0,1.5833333333333333,14.25,0.631578947368421,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7368421.052631579,1,17.370858648025116,35000000.000000015
2.75,4.75,30.0,1,0,0,1,0,0,1.7272727272727273,13.0625,0.5789473684210527,34935185.18518519,1.3165306748676215,0.0,0.0,7368421.052631579,0,17.370858648025116,35000000.000000015
1.5,3.25,13.0,0,0,1,0,1,0,2.1666666666666665,4.875,0.46153846153846156,12657142.857142856,1.161834242728283,0.0,0.0,3846153.846153846,0,16.341239282272525,12499999.999999985
3.0,4.0,13.0,0,0,1,1,0,0,1.3333333333333333,12.0,0.75,34629726.06117021,1.3498588075760032,0.0,0.0,7500000.0,0,17.216707972959764,30000000.00000005
3.0,5.0,13.0,0,1,0,1,0,0,1.6666666666666667,15.0,0.6,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5200000.0,1,17.073607134447293,25999999.999999985
2.75,5.3125,29.0,0,1,0,0,0,1,1.9318181818181819,14.609375,0.5176470588235295,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,8000000.0,0,17.565014657424058,42500000.00000005
3.0,11.0,22.0,0,1,0,0,0,1,3.6666666666666665,33.0,0.2727272727272727,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,4090909.090909091,0,17.622173069956816,44999999.999999985
2.75,4.0,13.0,0,1,0,0,0,1,1.4545454545454546,11.0,0.6875,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,9125000.0,0,17.41282284594998,36499999.99999996
2.0,16.0,14.0,0,1,0,1,0,0,8.0,32.0,0.125,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,4375000.0,1,18.064005814299346,69999999.99999991
3.0,4.0,13.0,0,0,1,0,1,0,1.3333333333333333,12.0,0.75,34629726.06117021,1.3498588075760032,0.0,0.0,5950000.0,0,16.98519618065851,23799999.999999996
3.0,4.5,20.0,0,1,0,0,0,1,1.5,13.5,0.6666666666666666,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7777777.777777778,0,17.370858648025116,35000000.000000015
3.0,5.5,30.0,0,1,0,1,0,0,1.8333333333333333,16.5,0.5454545454545454,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6181818.181818182,1,17.341871111992198,33999999.99999994
2.0,5.0,16.0,0,0,1,1,0,0,2.5,10.0,0.4,37939361.70212766,1.2214027581601699,0.0,0.0,2500000.0,0,16.341239282272525,12499999.999999985
3.0,13.0,20.0,0,1,0,1,0,0,4.333333333333333,39.0,0.23076923076923078,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6538461.538461538,1,18.258161826219297,85000000.00000004
3.0,6.0,20.0,0,1,0,1,0,0,2.0,18.0,0.5,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7500000.0,1,17.622173069956816,44999999.999999985
3.0,3.1,18.0,0,1,0,1,0,0,1.0333333333333334,9.3,0.9677419354838709,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7258064.516129032,1,16.929025911619092,22500000.00000001
2.75,2.75,10.0,0,1,0,1,0,0,1.0,7.5625,1.0,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,6909090.909090909,1,16.759949589762293,19000000.000000015
